,details,Etat,Marque,Prix,Adresse,Image_link
28,"<h1 class=""listing-item__header"">
    DELL Latitude 3570 Cor i5 6ème Gén
</h1>",Venant,Dell,115 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/451c811e894b021ac1565be59f65711f/-/horizon-files-prod/ed/picture/q56dngq6/da6965673ad6d91699122b8dd96f3a725e245aa3.jpg
29,"<h1 class=""listing-item__header"">
    Lenovo Thinkpad T480 Cor i5
</h1>",Venant,Lenovo,160 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9611de3a71870e45930341709599676e/-/horizon-files-prod/ed/picture/q9mj260j/116d57bb376d60b090a00c9af4bba5ff41371891.jpg
30,"<h1 class=""listing-item__header"">
    Dell core i7 ssd 256g ram 8g hdmi
</h1>",Venant,Dell,85 000 ,Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5363cc29bcd5387edfbd82a97e9c768/-/horizon-files-prod/ed/picture/qpdme5vp/77cc2631f4fa1f25c92ae2e2c2d706bd15b5b4da.jpg
31,"<h1 class=""listing-item__header"">
    HP EliteBook 840/745 8th gen
</h1>",Neuf,HP,180 000 ,Gibraltar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2aec69fa1b8577b38b7a9f88a14ae646/-/horizon-files-prod/ed/picture/q26we7e/cb515dd75eb8b32f1abd593c385ac62c401db8d4.jpg
32,"<h1 class=""listing-item__header"">
    🚀 LENOVO E570 : corei7 7th gen GTX ! 🚀
</h1>",Venant,Lenovo,225 000 ,Gibraltar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d46920b700b262042d730577bff9884f/-/horizon-files-prod/ed/picture/qv4wzkvm/40e37015587df9211df0209accae0bb3d449e4b1.jpg
33,"<h1 class=""listing-item__header"">
    HP EliteBook 1030 core i5
</h1>",Neuf,HP,250 000 ,Gibraltar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7989b88e3fa55523ca8cdc7467d05670/-/horizon-files-prod/ed/picture/q56dqjvx/076f200f2a9e0355d53ef9e1c9e5af452ea8b9cc.png
34,"<h1 class=""listing-item__header"">
    DELL microtours i5/i7 6e-12e gen
</h1>",Neuf,Dell,125 000 ,Gibraltar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/11f9b315e9d46ae05cc1687d7836cd4d/-/horizon-files-prod/ed/picture/q6044zv/50ea70c914069bf20cc71981e9e438a73df6eb0f.jpg
35,"<h1 class=""listing-item__header"">
    DELL ULTRABOOK
</h1>",Venant,Dell,125 000 ,Gueule-Tapée,https://i.roamcdn.net/hz/ed/listing-thumb-543w/07c0e14dd4d72737ee14f9c30a538b5b/-/horizon-files-prod/ed/picture/migrated/q59pwk2/0574b562b3db171f2c9af15af2d3ef2701eb21aa.jpg
36,"<h1 class=""listing-item__header"">
    Dell 5490 i5 8th ram 8 go
</h1>",Venant,Dell,145 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c4b504291adf4101b345e568f1a0eb51/-/horizon-files-prod/ed/picture/qq4qmgqj/7d60185eb952522055204c611000fed67956df2b.jpg
37,"<h1 class=""listing-item__header"">
    Lenovo t460 i5 ram 8
</h1>",Venant,Lenovo,120 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b150480aa801b321801ac431bd641a8/-/horizon-files-prod/ed/picture/q44875k4/97bd0a705df8cbcec422d41e0d2c4d8bfee079c5.jpg
38,"<h1 class=""listing-item__header"">
    MACBOOK PRO RETINA 2015 | i7 | 15''
</h1>",Venant,Apple,285 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b01d95eb2e6f4c6a6adb0611cdb5e3d6/-/horizon-files-prod/ed/picture/qrz8erd2/c102fb8f03484263a29320c9aac9f99b3707cecb.jpg
39,"<h1 class=""listing-item__header"">
    MACBOOK PRO RETINA 2015 | i7 | 15''
</h1>",Venant,Apple,275 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b9b6c5be44b19e80ff0414f2fd2e83a8/-/horizon-files-prod/ed/picture/q78wd6z5/84ec954e8dab03c428bae393c17e3fe4a7172df3.jpg
40,"<h1 class=""listing-item__header"">
    𝗔𝗰𝗲𝗿 𝗧𝗿𝗮𝘃𝗲𝗹𝗺𝗮𝘁𝗲 𝗦𝗽𝗶𝗻 𝗕𝟭𝟭𝟴
</h1>",Venant,Acer,55 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7301d6956eeb6cf515971704acabab/-/horizon-files-prod/ed/picture/qq42rkvn/526e61eca36ef849320b358b598e87cb20e15cd9.jpg
41,"<h1 class=""listing-item__header"">
    DELL LATITUDE 3189 | Intel Pentium N4200
</h1>",Venant,Dell,75 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1de872da6cd1e0977efec1f47b5bd871/-/horizon-files-prod/ed/picture/q9m92745/09317b06b8918769e3d422b72516476c7d802960.jpg
42,"<h1 class=""listing-item__header"">
    𝗠𝗔𝗖𝗕𝗢𝗢𝗞 𝗣𝗥𝗢 𝗥𝗘𝗧𝗜𝗡𝗔 𝟮𝟬𝟭𝟰 | 𝗶𝟳 | 𝟭𝟱''
</h1>",Venant,Apple,225 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c0ca26d57d21c997847a53d7958a9eab/-/horizon-files-prod/ed/picture/qzvp9jp6/7a4ef918c536122d0ebb02128d13155f9116042e.jpg
43,"<h1 class=""listing-item__header"">
    𝗜𝗠𝗔𝗖 𝗦𝗟𝗜𝗠 𝟮𝟬𝟭𝟳 | 𝗶𝟳 | 𝟮𝟭.𝟱″
</h1>",Venant,Apple,275 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/39c3898081b8603398997c4f7abc4f1e/-/horizon-files-prod/ed/picture/q9mjv467/8549246ea0973447f20878b89e67a5277f758728.jpg
44,"<h1 class=""listing-item__header"">
    HP PROBOOK 440 G7 | i5 | 10 GEN
</h1>",Venant,HP,225 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/757033090a4f406a8e94819b14d3bfb5/-/horizon-files-prod/ed/picture/q8v5wwx0/3d68f826f73622d38e25e50e480cd6aa7acba2dd.jpg
45,"<h1 class=""listing-item__header"">
    MACBOOK AIR 13'' | 2014 | i5
</h1>",Venant,Apple,115 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17097d515ef875d967c352e47b4d4e73/-/horizon-files-prod/ed/picture/q8v52wj4/811fc7b19d23a84bbbf3b901a35fd301c70fe738.jpg
46,"<h1 class=""listing-item__header"">
    Dell  All In One Optiplex 7450 | i7
</h1>",Venant,Dell,225 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f332550f238e867d1848a7a7ca7f8d06/-/horizon-files-prod/ed/picture/qngx8ddr/bdcb258cfd9651e91f424cc5d6d779fdd73f63bd.jpg
47,"<h1 class=""listing-item__header"">
    Dell All In One Optiplex 7450 | i5
</h1>",Venant,HP,200 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/48438a85021165b9707ed4ede33b1b04/-/horizon-files-prod/ed/picture/qgqwew5m/f4e87bbf156caed705f16b753be1374cadca0961.jpg
48,"<h1 class=""listing-item__header"">
    Hp 840 / 820 g3
</h1>",D'occasion,HP,100 000 ,Mbao,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bca6daea031b6e86de65c6c961271c4d/-/horizon-files-prod/ed/picture/qgqwej2r/985ba424043198a7041b2e5666473cee88e88591.jpg
