,details,Etat,Marque,Prix,Adresse,Image_link
43,"<h1 class=""listing-item__header"">
    Tapis de prière
</h1>",Neuf,Star,13 500 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a110ab918feb204d99a49600ea63c9e/-/horizon-files-prod/ed/picture/q6xd978g/7535a5a84029b8c470f646ecc53875332fbd8b05.jpg
44,"<h1 class=""listing-item__header"">
    Tv  Samsung 43 pouce  smart tv
</h1>",Neuf,Samsung,215 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6999974c287ceac68cbd41d0d5485be8/-/horizon-files-prod/ed/picture/qenvennx/9c36d89ef18bee84b54b04012f48eff7fe18ad06.jpg
45,"<h1 class=""listing-item__header"">
    Televiseur west 43 smart tv
</h1>",Neuf,Autre,110 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd7f9bc0d8e355e0d4fad7123b723995/-/horizon-files-prod/ed/picture/q0g7jprg/a51867298fd96c5875d505e85f76fbe2e1545174.jpg
46,"<h1 class=""listing-item__header"">
    Téléviseur Samsung 65 Pouces 4K
</h1>",Neuf,Samsung,395 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b6392b5100bfce4cab914e9777be1d0/-/horizon-files-prod/ed/picture/qzvpwqrq/cd565335460f7cfc674e934a572bfe45e88856d2.jpg
47,"<h1 class=""listing-item__header"">
    Téléviseur Samsung 55 Pouces
</h1>",Neuf,Samsung,320 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bbfcf1c8a99b2808c6fb04bfe116a521/-/horizon-files-prod/ed/picture/qngpk2mz/713b31853d7e4a4b9cfb728c5fca9beab50dc2c5.jpg
48,"<h1 class=""listing-item__header"">
    SMART TV TCL 55 POUCES 4K UHD ANDROID GOOGLE TV 139 CM
</h1>",Neuf,TCL,260 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f26a1f5e829e32f9589a660adcc86bae/-/horizon-files-prod/ed/picture/qgqwk000/59e66c9f5fa3f5e63767a2af081dbc98b0303b72.jpg
49,"<h1 class=""listing-item__header"">
    tv smart astech 55"" android ultra hd 4k full options
</h1>",Neuf,Samsung,250 000 ,Ouakam,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5d2fe3fde26e1d27eb1ae3a4540dc54/-/horizon-files-prod/ed/picture/qxjpe9gm/a6245668c3d9d919ae03f9d40a5508446cff76a2.jpg
50,"<h1 class=""listing-item__header"">
    LG SMART 70"" UT75 4K (2024)
</h1>",Neuf,LG,650 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93fd3a1ac72479cebb455ac04535ab79/-/horizon-files-prod/ed/picture/q78wqx4z/56b9d7d2fbd84207aa783f8841614ed4ede66017.jpg
51,"<h1 class=""listing-item__header"">
    Télécommande samsung smartv le meilleur de ça génération 4k
</h1>",Neuf,Samsung,35 000 ,Dieuppeul,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0f1428faa7f329d49645c033d7f41d4/-/horizon-files-prod/ed/picture/qngpq4wx/ab89e6dd562ffbb663606b6ab6650d3a72e7586f.jpg
52,"<h1 class=""listing-item__header"">
    SAMSUNG DU7000 SMART TV 65 POUCES 4K ELECTRONIC
</h1>",Neuf,Samsung,500 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9e5259882846d1ecc7fcee0453a99e0/-/horizon-files-prod/ed/picture/q2j0w92v/5b16b8979c226e415544d7b1f0a493f44e9e5d37.png
53,"<h1 class=""listing-item__header"">
    Téléviseur 43"" Astech 43AC111 smart Android
</h1>",Neuf,Astech,120 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9688a04afe31eef0a1417e72b859aeb/-/horizon-files-prod/ed/picture/q8v54zm4/92f57ad51c96cbc1fd124c65ec545cc5918c92ea.jpg
